sequence_name,sample_date,epi_week,epi_date,lineage
England/CAMC-1508CA2/2021,2021-04-12,68,2021-04-11,C.36.3
England/RAND-14FD4A9/2021,2021-04-12,68,2021-04-11,C.36.3
England/RAND-14FD3E8/2021,2021-04-12,68,2021-04-11,C.36.3
England/RAND-14F1F59/2021,2021-04-11,68,2021-04-11,C.36.3
England/MILK-151F428/2021,2021-04-10,67,2021-04-04,C.36.3
England/MILK-151F24C/2021,2021-04-10,67,2021-04-04,C.36.3
England/RAND-14FA6E2/2021,2021-04-10,67,2021-04-04,C.36.3
England/ALDP-14F227D/2021,2021-04-10,67,2021-04-04,C.36.3
England/MILK-1529CBA/2021,2021-04-09,67,2021-04-04,C.36.3
England/MILK-152A387/2021,2021-04-09,67,2021-04-04,C.36.3
England/MILK-1529713/2021,2021-04-09,67,2021-04-04,C.36.3
England/PHEC-304D6C/2021,2021-04-07,67,2021-04-04,C.36.3
England/CAMC-14E00B4/2021,2021-04-07,67,2021-04-04,C.36.3
England/CAMC-14DEC88/2021,2021-04-07,67,2021-04-04,C.36.3
Scotland/QEUH-14DFCC3/2021,2021-04-07,67,2021-04-04,C.36.3
England/ALDP-14E4979/2021,2021-04-06,67,2021-04-04,C.36.3
England/MILK-14DC974/2021,2021-04-06,67,2021-04-04,C.36.3
England/CAMC-14E30B1/2021,2021-04-06,67,2021-04-04,C.36.3
England/ALDP-14DD14E/2021,2021-04-05,67,2021-04-04,C.36.3
England/QEUH-14D19F7/2021,2021-04-05,67,2021-04-04,C.36.3
Scotland/QEUH-14D1283/2021,2021-04-04,67,2021-04-04,C.36.3
England/MILK-14C69E6/2021,2021-04-03,66,2021-03-28,C.36.3
England/RAND-14C5DEB/2021,2021-04-03,66,2021-03-28,C.36.3
England/ALDP-14CB1BC/2021,2021-04-02,66,2021-03-28,C.36.3
England/MILK-14BF9A4/2021,2021-04-01,66,2021-03-28,C.36.3
Scotland/CAMC-14C2C78/2021,2021-04-01,66,2021-03-28,C.36.3
England/CAMC-14A51B8/2021,2021-03-31,66,2021-03-28,C.36.3
England/ALDP-14AF8C8/2021,2021-03-30,66,2021-03-28,C.36.3
England/ALDP-14AEC18/2021,2021-03-30,66,2021-03-28,C.36.3
Scotland/QEUH-14A7D94/2021,2021-03-30,66,2021-03-28,C.36.3
England/CAMC-14A65CA/2021,2021-03-28,66,2021-03-28,C.36.3
England/PHEC-303F49/2021,2021-03-27,65,2021-03-21,C.36.3
England/CAMC-14847DB/2021,2021-03-25,65,2021-03-21,C.36.3
England/CAMC-145B676/2021,2021-03-21,65,2021-03-21,C.36.3
England/RAND-1458AB9/2021,2021-03-20,64,2021-03-14,C.36.3
England/CAMC-141BF68/2021,2021-03-18,64,2021-03-14,C.36.3
England/CAMC-141BD04/2021,2021-03-18,64,2021-03-14,C.36.3
Wales/CAMC-141BEB6/2021,2021-03-18,64,2021-03-14,C.36.3
England/CAMC-141CD8B/2021,2021-03-18,64,2021-03-14,C.36.3
England/CAMC-13E7A74/2021,2021-03-13,63,2021-03-07,C.36.3
England/CAMC-13D3422/2021,2021-03-11,63,2021-03-07,C.36.3
England/CAMC-13D34E6/2021,2021-03-11,63,2021-03-07,C.36.3
England/CAMC-13D3431/2021,2021-03-11,63,2021-03-07,C.36.3
England/CAMC-13D2766/2021,2021-03-07,63,2021-03-07,C.36.3
England/CAMC-13A5984/2021,2021-03-07,63,2021-03-07,C.36.3
England/CAMC-139BAD9/2021,2021-03-06,62,2021-02-28,C.36.3
England/CAMC-13AF814/2021,2021-03-03,62,2021-02-28,C.36.3
England/MILK-1387690/2021,2021-03-03,62,2021-02-28,C.36.3
England/CAMC-1322D38/2021,2021-02-22,61,2021-02-21,C.36.3
